,experiment,metrics,value,exp_type,effect,ref,target
0,result_PBMC_batch1_batch2_ind_batch2control_101_to_batch1_1493,Acc,0.8873239436619719,PBMC_batch1_batch2_ind,batch,batch2control_101,batch1_1493
1,result_PBMC_batch1_batch2_ind_batch2control_101_to_batch1_1493,ARI,0.8139678569320632,PBMC_batch1_batch2_ind,batch,batch2control_101,batch1_1493
2,result_PBMC_batch1_batch2_ind_batch2control_101_to_batch1_1493,macroF1,0.7225695182270844,PBMC_batch1_batch2_ind,batch,batch2control_101,batch1_1493
3,result_PBMC_batch2_ind_control_1256_to_stimulated_1244,Acc,0.9471488178025035,PBMC_batch2_ind,clinical,batch2control_1256,batch2stimulated_1244
4,result_PBMC_batch2_ind_control_1256_to_stimulated_1244,ARI,0.9160846828331245,PBMC_batch2_ind,clinical,batch2control_1256,batch2stimulated_1244
5,result_PBMC_batch2_ind_control_1256_to_stimulated_1244,macroF1,0.8069986612476532,PBMC_batch2_ind,clinical,batch2control_1256,batch2stimulated_1244
6,result_PBMC_batch1_batch2_ind_batch1_1154_to_batch2control_1016,Acc,0.8984329657573998,PBMC_batch1_batch2_ind,batch,batch1_1154,batch2control_1016
7,result_PBMC_batch1_batch2_ind_batch1_1154_to_batch2control_1016,ARI,0.7990934973161847,PBMC_batch1_batch2_ind,batch,batch1_1154,batch2control_1016
8,result_PBMC_batch1_batch2_ind_batch1_1154_to_batch2control_1016,macroF1,0.7301274387066097,PBMC_batch1_batch2_ind,batch,batch1_1154,batch2control_1016
9,result_PBMC_batch1_batch2_ind_batch2control_1256_to_batch1_1598,Acc,0.9155485398579322,PBMC_batch1_batch2_ind,batch,batch2control_1256,batch1_1598
10,result_PBMC_batch1_batch2_ind_batch2control_1256_to_batch1_1598,ARI,0.8500255295982723,PBMC_batch1_batch2_ind,batch,batch2control_1256,batch1_1598
11,result_PBMC_batch1_batch2_ind_batch2control_1256_to_batch1_1598,macroF1,0.8634068398262718,PBMC_batch1_batch2_ind,batch,batch2control_1256,batch1_1598
12,result_PBMC_batch1_batch2_ind_batch2control_1488_to_batch1_1085,Acc,0.9204042956411876,PBMC_batch1_batch2_ind,batch,batch2control_1488,batch1_1085
13,result_PBMC_batch1_batch2_ind_batch2control_1488_to_batch1_1085,ARI,0.8567845020556459,PBMC_batch1_batch2_ind,batch,batch2control_1488,batch1_1085
14,result_PBMC_batch1_batch2_ind_batch2control_1488_to_batch1_1085,macroF1,0.8206565147672933,PBMC_batch1_batch2_ind,batch,batch2control_1488,batch1_1085
15,result_PBMC_batch1_batch2_ind_batch2control_101_to_batch1_1043,Acc,0.9083232810615199,PBMC_batch1_batch2_ind,batch,batch2control_101,batch1_1043
16,result_PBMC_batch1_batch2_ind_batch2control_101_to_batch1_1043,ARI,0.8476544776581815,PBMC_batch1_batch2_ind,batch,batch2control_101,batch1_1043
17,result_PBMC_batch1_batch2_ind_batch2control_101_to_batch1_1043,macroF1,0.8376734710148286,PBMC_batch1_batch2_ind,batch,batch2control_101,batch1_1043
18,result_PBMC_batch1_batch2_ind_batch2stimulated_101_to_batch1_1511,Acc,0.8787878787878788,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_101,batch1_1511
19,result_PBMC_batch1_batch2_ind_batch2stimulated_101_to_batch1_1511,ARI,0.7919807906826993,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_101,batch1_1511
20,result_PBMC_batch1_batch2_ind_batch2stimulated_101_to_batch1_1511,macroF1,0.7763574015164563,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_101,batch1_1511
21,result_PBMC_batch1_batch2_ind_batch2control_1244_to_batch1_1249,Acc,0.8618524332810047,PBMC_batch1_batch2_ind,batch,batch2control_1244,batch1_1249
22,result_PBMC_batch1_batch2_ind_batch2control_1244_to_batch1_1249,ARI,0.7249599925161087,PBMC_batch1_batch2_ind,batch,batch2control_1244,batch1_1249
23,result_PBMC_batch1_batch2_ind_batch2control_1244_to_batch1_1249,macroF1,0.8390048309376837,PBMC_batch1_batch2_ind,batch,batch2control_1244,batch1_1249
24,result_PBMC_batch1_batch2_ind_batch2control_1488_to_batch1_1249,Acc,0.8335949764521193,PBMC_batch1_batch2_ind,batch,batch2control_1488,batch1_1249
25,result_PBMC_batch1_batch2_ind_batch2control_1488_to_batch1_1249,ARI,0.6982346614271105,PBMC_batch1_batch2_ind,batch,batch2control_1488,batch1_1249
26,result_PBMC_batch1_batch2_ind_batch2control_1488_to_batch1_1249,macroF1,0.7752070468084243,PBMC_batch1_batch2_ind,batch,batch2control_1488,batch1_1249
27,result_PBMC_batch1_ind_1154_to_1085,Acc,0.7852179406190777,PBMC_batch1_ind,individual,batch1_1154,batch1_1085
28,result_PBMC_batch1_ind_1154_to_1085,ARI,0.5792042391181792,PBMC_batch1_ind,individual,batch1_1154,batch1_1085
29,result_PBMC_batch1_ind_1154_to_1085,macroF1,0.6629392006903448,PBMC_batch1_ind,individual,batch1_1154,batch1_1085
30,result_PBMC_batch2_ind_control_1488_to_stimulated_1488,Acc,0.9465434083601286,PBMC_batch2_ind,clinical,batch2control_1488,batch2stimulated_1488
31,result_PBMC_batch2_ind_control_1488_to_stimulated_1488,ARI,0.9356868185753191,PBMC_batch2_ind,clinical,batch2control_1488,batch2stimulated_1488
32,result_PBMC_batch2_ind_control_1488_to_stimulated_1488,macroF1,0.8274447801787678,PBMC_batch2_ind,clinical,batch2control_1488,batch2stimulated_1488
33,result_PBMC_batch2_ind_control_1016_to_control_1244,Acc,0.8499201703033529,PBMC_batch2_ind,individual,batch2control_1016,batch2control_1244
34,result_PBMC_batch2_ind_control_1016_to_control_1244,ARI,0.7295153051153311,PBMC_batch2_ind,individual,batch2control_1016,batch2control_1244
35,result_PBMC_batch2_ind_control_1016_to_control_1244,macroF1,0.7031233335541461,PBMC_batch2_ind,individual,batch2control_1016,batch2control_1244
36,result_PBMC_batch2_ind_control_1244_to_stimulated_1015,Acc,0.8618736383442266,PBMC_batch2_ind,clinical,batch2control_1244,batch2stimulated_1015
37,result_PBMC_batch2_ind_control_1244_to_stimulated_1015,ARI,0.7585871990454056,PBMC_batch2_ind,clinical,batch2control_1244,batch2stimulated_1015
38,result_PBMC_batch2_ind_control_1244_to_stimulated_1015,macroF1,0.7245970869800892,PBMC_batch2_ind,clinical,batch2control_1244,batch2stimulated_1015
39,result_PBMC_batch2_ind_stimulated_1039_to_control_1256,Acc,0.9316888045540797,PBMC_batch2_ind,clinical,batch2stimulated_1039,batch2control_1256
40,result_PBMC_batch2_ind_stimulated_1039_to_control_1256,ARI,0.9000035403524833,PBMC_batch2_ind,clinical,batch2stimulated_1039,batch2control_1256
41,result_PBMC_batch2_ind_stimulated_1039_to_control_1256,macroF1,0.7983422457063492,PBMC_batch2_ind,clinical,batch2stimulated_1039,batch2control_1256
42,result_PBMC_batch1_batch2_ind_batch2control_1244_to_batch1_1154,Acc,0.6860090264345583,PBMC_batch1_batch2_ind,batch,batch2control_1244,batch1_1154
43,result_PBMC_batch1_batch2_ind_batch2control_1244_to_batch1_1154,ARI,0.5268755801806577,PBMC_batch1_batch2_ind,batch,batch2control_1244,batch1_1154
44,result_PBMC_batch1_batch2_ind_batch2control_1244_to_batch1_1154,macroF1,0.7737253769442283,PBMC_batch1_batch2_ind,batch,batch2control_1244,batch1_1154
45,result_PBMC_batch1_batch2_ind_batch2stimulated_1488_to_batch1_1085,Acc,0.9084017687934302,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1488,batch1_1085
46,result_PBMC_batch1_batch2_ind_batch2stimulated_1488_to_batch1_1085,ARI,0.847076403982532,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1488,batch1_1085
47,result_PBMC_batch1_batch2_ind_batch2stimulated_1488_to_batch1_1085,macroF1,0.8111546341987133,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1488,batch1_1085
48,result_PBMC_batch2_ind_stimulated_1016_to_stimulated_1488,Acc,0.8420418006430869,PBMC_batch2_ind,individual,batch2stimulated_1016,batch2stimulated_1488
49,result_PBMC_batch2_ind_stimulated_1016_to_stimulated_1488,ARI,0.7156608037529341,PBMC_batch2_ind,individual,batch2stimulated_1016,batch2stimulated_1488
50,result_PBMC_batch2_ind_stimulated_1016_to_stimulated_1488,macroF1,0.731125357910668,PBMC_batch2_ind,individual,batch2stimulated_1016,batch2stimulated_1488
51,result_PBMC_batch1_batch2_ind_batch1_1043_to_batch2stimulated_1015,Acc,0.8749455337690631,PBMC_batch1_batch2_ind,batch|clinical,batch1_1043,batch2stimulated_1015
52,result_PBMC_batch1_batch2_ind_batch1_1043_to_batch2stimulated_1015,ARI,0.7867192115793848,PBMC_batch1_batch2_ind,batch|clinical,batch1_1043,batch2stimulated_1015
53,result_PBMC_batch1_batch2_ind_batch1_1043_to_batch2stimulated_1015,macroF1,0.7456154875731058,PBMC_batch1_batch2_ind,batch|clinical,batch1_1043,batch2stimulated_1015
54,result_PBMC_batch2_ind_control_1256_to_control_1016,Acc,0.8659315147997678,PBMC_batch2_ind,individual,batch2control_1256,batch2control_1016
55,result_PBMC_batch2_ind_control_1256_to_control_1016,ARI,0.7044479595367255,PBMC_batch2_ind,individual,batch2control_1256,batch2control_1016
56,result_PBMC_batch2_ind_control_1256_to_control_1016,macroF1,0.8297697086513846,PBMC_batch2_ind,individual,batch2control_1256,batch2control_1016
57,result_PBMC_batch2_ind_control_1488_to_stimulated_1256,Acc,0.9112903225806451,PBMC_batch2_ind,clinical,batch2control_1488,batch2stimulated_1256
58,result_PBMC_batch2_ind_control_1488_to_stimulated_1256,ARI,0.8886039149875958,PBMC_batch2_ind,clinical,batch2control_1488,batch2stimulated_1256
59,result_PBMC_batch2_ind_control_1488_to_stimulated_1256,macroF1,0.7554670166251563,PBMC_batch2_ind,clinical,batch2control_1488,batch2stimulated_1256
60,result_PBMC_batch1_batch2_ind_batch1_1154_to_batch2control_1488,Acc,0.79369768586903,PBMC_batch1_batch2_ind,batch,batch1_1154,batch2control_1488
61,result_PBMC_batch1_batch2_ind_batch1_1154_to_batch2control_1488,ARI,0.6464659254177292,PBMC_batch1_batch2_ind,batch,batch1_1154,batch2control_1488
62,result_PBMC_batch1_batch2_ind_batch1_1154_to_batch2control_1488,macroF1,0.6089708524501445,PBMC_batch1_batch2_ind,batch,batch1_1154,batch2control_1488
63,result_PBMC_batch2_ind_control_107_to_stimulated_1244,Acc,0.9269819193324061,PBMC_batch2_ind,clinical,batch2control_107,batch2stimulated_1244
64,result_PBMC_batch2_ind_control_107_to_stimulated_1244,ARI,0.8964388497548289,PBMC_batch2_ind,clinical,batch2control_107,batch2stimulated_1244
65,result_PBMC_batch2_ind_control_107_to_stimulated_1244,macroF1,0.6644007872301786,PBMC_batch2_ind,clinical,batch2control_107,batch2stimulated_1244
66,result_PBMC_batch1_batch2_ind_batch1_1493_to_batch2control_1016,Acc,0.8595473012188044,PBMC_batch1_batch2_ind,batch,batch1_1493,batch2control_1016
67,result_PBMC_batch1_batch2_ind_batch1_1493_to_batch2control_1016,ARI,0.7191603056298187,PBMC_batch1_batch2_ind,batch,batch1_1493,batch2control_1016
68,result_PBMC_batch1_batch2_ind_batch1_1493_to_batch2control_1016,macroF1,0.6942629390921083,PBMC_batch1_batch2_ind,batch,batch1_1493,batch2control_1016
69,result_PBMC_batch1_batch2_ind_batch1_1043_to_batch2stimulated_1256,Acc,0.9259072580645161,PBMC_batch1_batch2_ind,batch|clinical,batch1_1043,batch2stimulated_1256
70,result_PBMC_batch1_batch2_ind_batch1_1043_to_batch2stimulated_1256,ARI,0.9057962574997077,PBMC_batch1_batch2_ind,batch|clinical,batch1_1043,batch2stimulated_1256
71,result_PBMC_batch1_batch2_ind_batch1_1043_to_batch2stimulated_1256,macroF1,0.7390045678763284,PBMC_batch1_batch2_ind,batch|clinical,batch1_1043,batch2stimulated_1256
72,result_PBMC_batch1_ind_1079_to_1043,Acc,0.9240048250904704,PBMC_batch1_ind,individual,batch1_1079,batch1_1043
73,result_PBMC_batch1_ind_1079_to_1043,ARI,0.8715773960396508,PBMC_batch1_ind,individual,batch1_1079,batch1_1043
74,result_PBMC_batch1_ind_1079_to_1043,macroF1,0.8535443207172608,PBMC_batch1_ind,individual,batch1_1079,batch1_1043
75,result_PBMC_batch1_batch2_ind_batch2stimulated_107_to_batch1_1598,Acc,0.7908445146014207,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_107,batch1_1598
